;airbusOpen;airbusHigh;airbusLow;airbusClose;airbusAdj Close;airbusVolume;brentOpen;brentHigh;brentLow;brentClose;brentAdj Close;brentVolume;eurodolarOpen;eurodolarHigh;eurodolarLow;eurodolarClose;eurodolarAdj Close;eurodolarVolume;goldOpen;goldHigh;goldLow;goldClose;goldAdj Close;goldVolume
2022-10-03;87,9000015258789;89,7699966430664;86,5199966430664;89,20999908447266;89,20999908447266;1057580;86,51000213623047;89,83000183105469;86,51000213623047;88,86000061035156;88,86000061035156;38251;0,9792688488960266;0,9844263195991516;0,9753623604774475;0,9792688488960266;0,9792688488960266;0;1667,199951171875;1700,0;1661,9000244140625;1692,9000244140625;1692,9000244140625;410
2022-10-04;90,63999938964844;95,16000366210938;90,36000061035156;94,69999694824219;94,69999694824219;1891490;88,88999938964844;92,38999938964844;88,69000244140625;91,80000305175781;91,80000305175781;38971;0,9832068681716919;0,998013973236084;0,9806710481643677;0,9832068681716919;0,9832068681716919;0;1701,199951171875;1728,0;1696,0;1721,0999755859375;1721,0999755859375;291
2022-10-05;94,30000305175781;94,95999908447266;92,79000091552734;93,3499984741211;93,3499984741211;1183229;91,6500015258789;93,97000122070312;90,9000015258789;93,37000274658203;93,37000274658203;39563;0,998432457447052;0,9994204044342041;0,9835453629493713;0,998432457447052;0,998432457447052;0;1724,0999755859375;1726,5999755859375;1703,0;1711,4000244140625;1711,4000244140625;418
2022-10-06;94,2300033569336;94,94999694824219;92,6500015258789;93,13999938964844;93,13999938964844;1088406;93,83000183105469;95,01000213623047;92,7300033569336;94,41999816894531;94,41999816894531;26200;0,9910998940467834;0,9926347136497498;0,9789333343505859;0,9910998940467834;0,9910998940467834;0;1721,0;1723,300048828125;1709,0999755859375;1711,699951171875;1711,699951171875;133
2022-10-07;92,91000366210938;94,26000213623047;91,9800033569336;92,33000183105469;92,33000183105469;783785;94,98999786376953;98,58999633789062;93,93000030517578;97,91999816894531;97,91999816894531;36871;0,9789045453071594;0,9816046953201294;0,9731696844100952;0,9789045453071594;0,9789045453071594;0;1710,0999755859375;1710,0999755859375;1693,699951171875;1700,5;1700,5;179
2022-10-10;91,80000305175781;93,55999755859375;91,58000183105469;93,01000213623047;93,01000213623047;1000887;98,69999694824219;98,76000213623047;95,62000274658203;96,19000244140625;96,19000244140625;24699;0,9735012650489807;0,9752291440963745;0,96825110912323;0,9735012650489807;0,9735012650489807;0;1693,4000244140625;1693,4000244140625;1667,0;1667,300048828125;1667,300048828125;195
2022-10-11;92,70999908447266;94,19999694824219;92,36000061035156;93,93000030517578;93,93000030517578;1092000;96,1500015258789;96,44999694824219;93,11000061035156;94,29000091552734;94,29000091552734;31431;0,9710057377815247;0,975809633731842;0,9673987030982971;0,9710057377815247;0,9710057377815247;0;1661,800048828125;1678,699951171875;1661,0;1678,699951171875;1678,699951171875;167
2022-10-12;94,0;94,41999816894531;92,4800033569336;93,25;93,25;1189418;93,69000244140625;95,16999816894531;91,58000183105469;92,44999694824219;92,44999694824219;29821;0,9700167775154114;0,9733022451400757;0,9669683575630188;0,9700167775154114;0,9700167775154114;0;1668,0;1672,699951171875;1668,0;1670,300048828125;1670,300048828125;149
2022-10-13;93,51000213623047;97,43000030517578;93,04000091552734;96,9000015258789;96,9000015258789;1620868;92,47000122070312;94,9000015258789;91,08999633789062;94,56999969482422;94,56999969482422;32826;0,9707984328269958;0,979508638381958;0,9635953307151794;0,9707984328269958;0,9707984328269958;0;1675,199951171875;1675,300048828125;1641,5;1670,0;1670,0;729
2022-10-14;98,72000122070312;99,33999633789062;96,26000213623047;96,58999633789062;96,58999633789062;1271176;94,75;95,11000061035156;91,2699966430664;91,62999725341797;91,62999725341797;29344;0,975134015083313;0,9803825616836548;0,9709492325782776;0,975134015083313;0,975134015083313;0;1665,300048828125;1667,0;1640,0;1641,699951171875;1641,699951171875;82
2022-10-17;96,69000244140625;99,87999725341797;96,58999633789062;99,0999984741211;99,0999984741211;1039975;91,70999908447266;93,2300033569336;90,83999633789062;91,62000274658203;91,62000274658203;23783;0,973937451839447;0,9847074747085571;0,9724504947662354;0,973937451839447;0,973937451839447;0;1650,199951171875;1657,0;1646,800048828125;1657,0;1657,0;238
2022-10-18;101,5;101,95999908447266;99,5199966430664;100,23999786376953;100,23999786376953;1190832;92,0199966430664;92,6500015258789;88,7699966430664;90,02999877929688;90,02999877929688;40941;0,9846396446228027;0,9873617887496948;0,9814602136611938;0,9846396446228027;0,9846396446228027;0;1651,4000244140625;1655,199951171875;1649,0;1649,0;1649,0;597
2022-10-19;101,0;101,68000030517578;99,9000015258789;100,87999725341797;100,87999725341797;1034654;90,79000091552734;92,83999633789062;89,37999725341797;92,41000366210938;92,41000366210938;43364;0,9863878488540649;0,9866993427276611;0,9760192036628723;0,9863878488540649;0,9863878488540649;0;1637,5;1637,5;1627,5;1627,5;1627,5;84
2022-10-20;100,55999755859375;101,9000015258789;100,0199966430664;101,36000061035156;101,36000061035156;927613;92,51000213623047;94,7699966430664;91,91999816894531;92,37999725341797;92,37999725341797;40748;0,9766482710838318;0,9845135807991028;0,9755526185035706;0,9766482710838318;0,9766482710838318;0;1622,800048828125;1641,4000244140625;1622,800048828125;1630,800048828125;1630,800048828125;477
2022-10-21;100,5;101,72000122070312;99,37999725341797;100,91999816894531;100,91999816894531;1158010;92,79000091552734;93,80000305175781;91,0199966430664;93,5;93,5;26861;0,9778899550437927;0,9856975078582764;0,9707323908805847;0,9778899550437927;0,9778899550437927;0;1634,0999755859375;1653,9000244140625;1634,0999755859375;1651,0;1651,0;224
2022-10-24;101,9800033569336;103,77999877929688;101,31999969482422;102,54000091552734;102,54000091552734;1208860;93,61000061035156;94,44000244140625;91,20999908447266;93,26000213623047;93,26000213623047;28074;0,9860085844993591;0,9889631271362305;0,9808922410011292;0,9860085844993591;0,9860085844993591;0;1662,699951171875;1662,699951171875;1648,699951171875;1648,699951171875;1648,699951171875;29
2022-10-25;103,16000366210938;104,58000183105469;102,22000122070312;104,05999755859375;104,05999755859375;1100441;93,55999755859375;94,37000274658203;91,62999725341797;93,5199966430664;93,5199966430664;22553;0,9886503219604492;0,9975360631942749;0,9852216839790344;0,9886503219604492;0,9886503219604492;0;1648,199951171875;1652,800048828125;1637,300048828125;1652,800048828125;1652,800048828125;880
2022-10-26;104,36000061035156;106,19999694824219;104,30000305175781;105,9000015258789;105,9000015258789;1206089;93,25;96,19000244140625;92,04000091552734;95,69000244140625;95,69000244140625;15637;0,9963731169700623;1,0080543756484985;0,9944608211517334;0,9963731169700623;0,9963731169700623;0;1649,800048828125;1667,0;1649,800048828125;1664,0;1664,0;89
2022-10-27;106,19999694824219;107,23999786376953;104,66000366210938;106,12000274658203;106,12000274658203;1535970;96,16000366210938;97,27999877929688;95,08000183105469;96,95999908447266;96,95999908447266;14677;1,009193778038025;1,0094891786575317;0,9976455569267273;1,009193778038025;1,009193778038025;0;1660,699951171875;1660,699951171875;1660,699951171875;1660,699951171875;1660,699951171875;2298
2022-10-28;103,0;110,0;102,62000274658203;110,0;110,0;2575110;96,77999877929688;96,88999938964844;95,0;95,7699966430664;95,7699966430664;12135;0,9967803955078125;0,9998999834060669;0,9931473135948181;0,9967803955078125;0,9967803955078125;0;1661,0;1661,0;1638,699951171875;1639,5999755859375;1639,5999755859375;626
