;airbusOpen;airbusVolume;brentOpen;brentVolume;eurodolarOpen;eurodolarVolume;goldOpen;goldVolume
2022-01-03;113,5999984741211;1320377,0;77,94000244140625;27224,0;1,1373846530914307;0;1830,0999755859375;116,0
2022-01-04;116,58000183105469;1588549,0;78,94999694824219;31321,0;1,1301988363265991;0;1800,5;38,0
2022-01-05;119,31999969482422;1806200,0;80,08000183105469;35152,0;1,1285407543182373;0;1813,0999755859375;8,0
2022-01-06;118,19999694824219;1441589,0;80,1500015258789;41582,0;1,1312217712402344;0;1787,0999755859375;30,0
2022-01-07;118,0;1244642,0;82,05999755859375;29501,0;1,129586100578308;0;1791,800048828125;17,0
2022-01-10;118,0;1099153,0;81,79000091552734;30035,0;1,135344386100769;0;1794,9000244140625;534,0
2022-01-11;118,5999984741211;1060555,0;80,95999908447266;37934,0;1,1332728862762451;0;1803,9000244140625;743,0
2022-01-12;118,72000122070312;1288629,0;83,69000244140625;32298,0;1,1370097398757935;0;1819,0;1547,0
2022-01-13;118,0;1278350,0;84,77999877929688;27107,0;1,1439814567565918;0;1819,800048828125;40,0
2022-01-14;116,27999877929688;1051871,0;84,12999725341797;31970,0;1,14565908908844;0;1821,5;816,0
2022-01-17;118,27999877929688;958258,0;;;1,1412137746810913;0;;
2022-01-18;116,19999694824219;1131796,0;86,5;45875,0;1,141291856765747;0;1816,800048828125;900,0
2022-01-19;115,55999755859375;1479906,0;88,44999694824219;37483,0;1,1330032348632812;0;1817,4000244140625;4,0
2022-01-20;115,08000183105469;1161977,0;87,7300033569336;30524,0;1,134352684020996;0;1840,5999755859375;20,0
2022-01-21;114,0;2241374,0;87,3499984741211;29566,0;1,1315417289733887;0;1838,0;19,0
2022-01-24;112,5199966430664;2524642,0;87,6500015258789;34253,0;1,1340954303741455;0;1837,9000244140625;8,0
2022-01-25;108,81999969482422;2101749,0;87,16999816894531;29496,0;1,132387399673462;0;1843,0;11,0
2022-01-26;111,0;1868916,0;88,0199966430664;29805,0;1,130352258682251;0;1829,9000244140625;55,0
2022-01-27;111,12000274658203;1523610,0;89,77999877929688;15201,0;1,1242270469665527;0;1793,300048828125;196036,0
2022-01-28;113,5;1530319,0;89,88999938964844;10824,0;1,1146159172058105;0;1797,5;28521,0
2022-01-31;112,76000213623047;1636479,0;90,80000305175781;118,0;1,115138053894043;0;1788,5;1735,0
2022-02-01;113,58000183105469;1601492,0;91,29000091552734;36248,0;1,12291419506073;0;1797,199951171875;223,0
2022-02-02;115,37999725341797;1412361,0;89,29000091552734;38172,0;1,1273066997528076;0;1797,800048828125;1690,0
2022-02-03;112,86000061035156;1258207,0;89,05999755859375;33059,0;1,1299946308135986;0;1805,800048828125;466,0
2022-02-04;111,94000244140625;1209672,0;91,04000091552734;33357,0;1,1435105800628662;0;1806,0;571,0
2022-02-07;111,87999725341797;1173544,0;92,7300033569336;37016,0;1,1454622745513916;0;1812,199951171875;601,0
2022-02-08;113,0;1514367,0;93,01000213623047;39288,0;1,144086241722107;0;1818,9000244140625;108,0
2022-02-09;115,73999786376953;1416605,0;91,2699966430664;34759,0;1,1421130895614624;0;1825,4000244140625;683,0
2022-02-10;117,27999877929688;1075687,0;91,72000122070312;43235,0;1,142126202583313;0;1833,300048828125;365,0
2022-02-11;116,5999984741211;1324106,0;91,26000213623047;53045,0;1,1411746740341187;0;1822,0;181,0
2022-02-14;115,0;1886460,0;95,30999755859375;48449,0;1,1365832090377808;0;1861,800048828125;79,0
2022-02-15;115,5;1658714,0;95,76000213623047;45181,0;1,1306078433990479;0;1872,5999755859375;86,0
2022-02-16;118,0999984741211;1488356,0;93,58999633789062;45148,0;1,135563611984253;0;1858,699951171875;34,0
2022-02-17;119,80000305175781;1614702,0;92,08999633789062;38045,0;1,1373329162597656;0;1876,300048828125;393,0
2022-02-18;117,66000366210938;2060276,0;92,9800033569336;42436,0;1,1363893747329712;0;1899,4000244140625;51,0
2022-02-21;116,04000091552734;1724281,0;;;1,131733775138855;0;;
2022-02-22;109,4800033569336;2156241,0;94,27999877929688;59945,0;1,1309658288955688;0;1908,0999755859375;173,0
2022-02-23;114,55999755859375;2002740,0;96,62999725341797;33549,0;1,1330546140670776;0;1896,5999755859375;73,0
2022-02-24;108,23999786376953;3814789,0;97,55999755859375;21282,0;1,1305949687957764;0;1911,9000244140625;2706,0
2022-02-25;110,0;3050795,0;99,6500015258789;7025,0;1,1190814971923828;0;1906,9000244140625;586,0
2022-02-28;115,45999908447266;3777634,0;100,4800033569336;448,0;1,118105411529541;0;1928,300048828125;390,0
2022-03-01;114,4800033569336;3583957,0;100,8499984741211;56428,0;1,1214659214019775;0;1908,300048828125;547,0
2022-03-02;104,0;3419858,0;107,54000091552734;59273,0;1,1131023168563843;0;1945,5999755859375;109,0
2022-03-03;109,05999755859375;2420701,0;114,25;37420,0;1,1113580465316772;0;1930,5;122,0
2022-03-04;103,0;3941176,0;110,58000183105469;34984,0;1,1069294214248657;0;1937,0;47,0
2022-03-07;91,5;4384096,0;121,23999786376953;29504,0;1,087393879890442;0;1989,0;2516,0
2022-03-08;91,31999969482422;3235886,0;124,25;38358,0;1,08695650100708;0;1999,4000244140625;1813,0
2022-03-09;97,62000274658203;3709463,0;129,57000732421875;42740,0;1,0900845527648926;0;2053,60009765625;1022,0
2022-03-10;103,19999694824219;2779312,0;112,73999786376953;30414,0;1,1073338985443115;0;1978,0999755859375;670,0
2022-03-11;99,88999938964844;2624329,0;109,72000122070312;18819,0;1,1012123823165894;0;1985,0;865,0
2022-03-14;105,0;2020164,0;112,9000015258789;19364,0;1,0932546854019165;0;1976,5;145,0
2022-03-15;102,62000274658203;2299853,0;106,0;26067,0;1,094534993171692;0;1939,800048828125;71,0
2022-03-16;105,9000015258789;2548452,0;99,04000091552734;18514,0;1,0967316627502441;0;1922,4000244140625;104,0
2022-03-17;106,66000366210938;1456505,0;98,0999984741211;15091,0;1,102244257926941;0;1933,9000244140625;39,0
2022-03-18;106,80000305175781;2900224,0;107,23999786376953;10489,0;1,1098902225494385;0;1934,5;28,0
2022-03-21;105,62000274658203;1480861,0;107,37000274658203;11620,0;1,1042159795761108;0;1925,4000244140625;5,0
2022-03-22;105,37999725341797;1552901,0;116,8499984741211;14222,0;1,1016370058059692;0;1920,699951171875;26,0
2022-03-23;108,37999725341797;1286213,0;114,73999786376953;14286,0;1,1030100584030151;0;1936,5999755859375;204,0
2022-03-24;107,23999786376953;1058102,0;121,2699966430664;12778,0;1,1006306409835815;0;1963,5999755859375;8,0
2022-03-25;107,77999877929688;1226858,0;118,27999877929688;14026,0;1,100897192955017;0;1953,800048828125;83,0
2022-03-28;107,12000274658203;1155300,0;120,30999755859375;15212,0;1,098189115524292;0;1932,5999755859375;7,0
2022-03-29;109,5999984741211;1811661,0;109,7300033569336;7152,0;1,0993843078613281;0;1893,5;128051,0
2022-03-30;112,5;1706221,0;111,0;4472,0;1,1091516017913818;0;1918,4000244140625;17765,0
2022-03-31;111,66000366210938;1603935,0;108,70999908447266;31,0;1,1161835193634033;0;1933,5;3617,0
2022-04-01;110,08000183105469;1099406,0;107,66999816894531;17144,0;1,1072357892990112;0;1935,0;1016,0
2022-04-04;111,76000213623047;1150678,0;104,25;18406,0;1,1047282218933105;0;1921,199951171875;371,0
2022-04-05;109,58000183105469;2140458,0;108,23999786376953;15613,0;1,0975863933563232;0;1927,0999755859375;412,0
2022-04-06;104,95999908447266;1781786,0;105,79000091552734;20212,0;1,090643286705017;0;1916,699951171875;138,0
2022-04-07;104,13999938964844;1505381,0;102,1500015258789;19577,0;1,0898232460021973;0;1919,5;311,0
2022-04-08;103,69999694824219;964702,0;101,69000244140625;16735,0;1,0864840745925903;0;1928,800048828125;153,0
2022-04-11;102,58000183105469;1223534,0;103,06999969482422;23852,0;1,0884946584701538;0;1946,5999755859375;163,0
2022-04-12;102,4800033569336;1638653,0;99,25;22697,0;1,0877959728240967;0;1952,5;246,0
2022-04-13;103,81999969482422;979693,0;104,9800033569336;22260,0;1,0826143026351929;0;1969,5;204,0
2022-04-14;104,44000244140625;1240440,0;108,37000274658203;17418,0;1,089656949043274;0;1977,199951171875;101,0
2022-04-19;104,18000030517578;1231107,0;112,6500015258789;18972,0;1,0781787633895874;0;1973,800048828125;130,0
2022-04-20;104,87999725341797;1114419,0;107,72000122070312;15985,0;1,0794472694396973;0;1945,5;621,0
2022-04-21;105,80000305175781;1614181,0;107,01000213623047;13203,0;1,0849870443344116;0;1942,5;4,0
2022-04-22;106,04000091552734;1516294,0;108,63999938964844;11040,0;1,0835175514221191;0;1949,5999755859375;178,0
2022-04-25;102,5;1384818,0;105,73999786376953;15464,0;1,0811045169830322;0;1925,0;748,0
2022-04-26;104,66000366210938;1313876,0;102,56999969482422;13279,0;1,0714209079742432;0;1900,5;302,0
2022-04-27;102,0999984741211;1369774,0;105,37000274658203;8064,0;1,0643619298934937;0;1897,800048828125;1786,0
