id,display,community,num_conv,branch_mean_heigh,mess_mean_length,likesCom,likesOther,num_likes_com,num_likes_other,badWords,conv_upperletter,conv_data,debatesCom,depthDebatesCom,debatesOther,depthDebatesOther,cont_started_conv,cont_started_conv_debate,topic_creator,users_com_interaction,users_other_iteraction
582288239@grupogodo1.fyre.co,Un poco de seny,0,0.1374738311235171,0.041985893812800795,0.027539153109052802,0.5335868187579215,0.019011406844106463,0.5407725321888412,0.19753086419753088,0.019011406844106463,0.0076045627376425855,0.11660329531051965,0.04055766793409379,0.09396917429408405,0.012674271229404309,0.08556835066864783,0.21074815595363539,0.065,0.5069708491761724,0.15228426395939085,0.08988764044943821
0016443be49548f9b23c3f9b3732340b@grupogodo1.fyre.co,Ni helado ni ANDEPANDANSIA,0,0.05478018143754362,0.02615929318258235,0.03173200848127053,0.653968253968254,0.0031746031746031746,0.3290414878397711,0.01234567901234568,0.012698412698412698,0.01904761904761905,0.16507936507936508,0.006349206349206349,0.06676471899095246,0.01904761904761905,0.08628741243897262,0.12855637513171758,0.020491803278688523,0.7746031746031746,0.01015228426395939,0.05617977528089888
3b9aa3e59bc04395af816a2f02921cd1@grupogodo1.fyre.co,hanes,1,0.005059316120027913,0.04498747885440753,0.05147058823529412,0.23333333333333334,0.1,0.040705050341458146,0.028203490847169006,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.09227959385834571,0.002107481559536354,0.0,0.13333333333333333,0.0,0.010267338240991863
1325329552@grupogodo1.fyre.co,noalmarques,0,0.007152826238660153,0.018753401146971407,0.016252072968490877,0.47619047619047616,0.023809523809523808,0.08440629470672388,0.01234567901234568,0.11904761904761904,0.023809523809523808,0.047619047619047616,0.0,0.0,0.0,0.0,0.015806111696522653,0.0,0.7142857142857143,0.0,0.0
221b398790254299ab385133c129dc4e@grupogodo1.fyre.co,francisco99,0,0.006106071179344033,0.01780107999497677,0.07921928817451206,0.6111111111111112,0.05555555555555555,0.13876967095851217,0.02469135802469136,0.027777777777777776,0.0,0.19444444444444445,0.027777777777777776,0.0715336274903062,0.0,0.0,0.0184404636459431,0.02857142857142857,0.9722222222222222,0.005076142131979695,0.0
1324635601@grupogodo1.fyre.co,joan 13,0,0.0031402651779483598,0.00277599688030827,0.03279654359780047,0.42105263157894735,0.3157894736842105,0.028612303290414875,0.08641975308641976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010010537407797681,0.0,1.0,0.0,0.0
1325290516@grupogodo1.fyre.co,freddieKQAA,1,0.0003489183531053734,0.03296496295366068,0.06592039800995025,0.3333333333333333,0.0,0.006262315437147408,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.001053740779768177,0.0,0.6666666666666666,0.0,0.0
927605156@grupogodo1.fyre.co,TOKIO 2020,0,0.006978367062107467,0.0389846518408509,0.03226057213930349,0.5853658536585366,0.0,0.08726752503576538,0.01234567901234568,0.07317073170731707,0.0,0.24390243902439024,0.0,0.0,0.04878048780487805,0.07550148588410104,0.008956796628029505,0.0,0.4146341463414634,0.0,0.022471910112359553
742573940@grupogodo1.fyre.co,Sr Sh,1,0.008199581297976273,0.04246334210980021,0.02991737739872068,0.375,0.0625,0.07514778524576889,0.07332907620263943,0.125,0.0,0.08333333333333333,0.020833333333333332,0.0715336274903062,0.0625,0.09787229651642726,0.015279241306638566,0.034482758620689655,0.6041666666666666,0.011110046930370654,0.015401007361487796
1320395100@grupogodo1.fyre.co,hdedo,0,0.0006978367062107466,0.021976641969107123,0.05522388059701493,0.6,0.0,0.034334763948497854,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.002107481559536354,0.0,0.8,0.0,0.0
