ID,DIA,HORA,TIMESTAMP,AFRISOL,CESA,DISS,PSA,TSA,KONTAS,BSRN
335-9,1,9,335,0.681559334082,0.689707150056,0.529802348277,0.662423082545,0.759624310219,0.681559334082,0.614482793506
335-9.02,1,9.02,335,0.741684092155,0.760433779617,0.627215201176,0.747664945454,0.795755417577,0.741684092155,0.662882225974
335-9.03,1,9.03,335,0.722615855354,0.699478662271,0.691649949126,0.656747415486,0.794074642362,0.722615855354,0.740162701299
335-9.05,1,9.05,335,0.72466803152,0.744789301815,0.721171210158,0.680943398837,0.74105226504,0.72466803152,0.73188716039
335-9.07,1,9.07,335,0.696728520952,0.680453475756,0.699055180924,0.709132296177,0.74444217811,0.696728520952,0.652886133766
335-9.08,1,9.08,335,0.730620414676,0.719284206396,0.74452456685,0.727393674242,0.768058285857,0.730620414676,0.707745492208
335-9.1,1,9.1,335,0.736115473482,0.729145214767,0.673888309702,0.719760166913,0.765644712896,0.736115473482,0.729911799351
335-9.12,1,9.12,335,0.737019248831,0.727795112423,0.702218221264,0.723564648909,0.763386959966,0.737019248831,0.733330274026
335-9.13,1,9.13,335,0.734273199745,0.725631630071,0.724966128204,0.721716987984,0.759878599758,0.734273199745,0.729865581169
335-9.15,1,9.15,335,0.734217828387,0.723499666323,0.719131356527,0.72203305113,0.763073805186,0.734217828387,0.728264790909
335-9.17,1,9.17,335,0.734386599285,0.72430627163,0.720089123993,0.722413255087,0.762210658736,0.734386599285,0.728616211688
335-9.18,1,9.18,335,0.735406286289,0.725105800621,0.720581712088,0.723014900594,0.763429724462,0.735406286289,0.730074719481
335-9.2,1,9.2,335,0.735408465631,0.725073734351,0.719496155612,0.72266505073,0.763486030692,0.735408465631,0.730409046753
335-9.22,1,9.22,335,0.736116664223,0.725449687564,0.723330718227,0.723612474349,0.764226888486,0.736116664223,0.731177606494
335-9.23,1,9.23,335,0.736760872286,0.725818647498,0.718476149596,0.724335669222,0.764953323071,0.736760872286,0.731935849351
335-9.25,1,9.25,335,0.737684949288,0.726588706903,0.722266384239,0.725129060851,0.766121596282,0.737684949288,0.732900433117
335-9.27,1,9.27,335,0.738638576601,0.727344724798,0.720761337955,0.72597246885,0.767384872494,0.738638576601,0.73385224026
335-9.28,1,9.28,335,0.737694252311,0.726109767353,0.725428099287,0.724751565302,0.766355698667,0.737694252311,0.733559977922
335-9.3,1,9.3,335,0.73789640027,0.727244598295,0.721415072414,0.724946866959,0.766545462448,0.73789640027,0.732848673377
335-9.32,1,9.32,335,0.737925998376,0.727196607567,0.716821870053,0.724786331511,0.766732360272,0.737925998376,0.732988694156
335-9.33,1,9.33,335,0.737112284618,0.726376175665,0.719717282647,0.72373943549,0.765624052643,0.737112284618,0.732709474675
335-9.35,1,9.35,335,0.736504909753,0.725567949339,0.71836129142,0.723051733564,0.765172565848,0.736504909753,0.73222739026
335-9.37,1,9.37,335,0.735613336686,0.724773495268,0.722664615919,0.722035101503,0.764303306468,0.735613336686,0.731341443506
335-9.38,1,9.38,335,0.734909146878,0.723988865003,0.720477573067,0.721837255316,0.763341982777,0.734909146878,0.730468484416
335-9.4,1,9.4,335,0.733957614128,0.722468614215,0.720998056968,0.72104474611,0.762708866317,0.733957614128,0.72960822987
335-9.42,1,9.42,335,0.733109940665,0.722085485166,0.717015625985,0.719933900259,0.761458936327,0.733109940665,0.728961440909
335-9.43,1,9.43,335,0.732086704926,0.720598910068,0.715930509073,0.718773117456,0.760850457763,0.732086704926,0.728124334416
335-9.45,1,9.45,335,0.730995271845,0.71949993144,0.71546512378,0.717761595255,0.759222236009,0.730995271845,0.727497324675
335-9.47,1,9.47,335,0.729897920274,0.718054417287,0.713006302405,0.716632587246,0.758025495395,0.729897920274,0.726879181169
335-9.48,1,9.48,335,0.727890807743,0.715983343431,0.712560385303,0.714834281504,0.755884529415,0.727890807743,0.724861076623
335-9.5,1,9.5,335,0.725940936045,0.714306319595,0.710155263983,0.713009639216,0.753377649005,0.725940936045,0.723070136364
335-9.52,1,9.52,335,0.724110430211,0.712302244829,0.707594907311,0.711015894412,0.752006636798,0.724110430211,0.721116944805
335-9.53,1,9.53,335,0.722210464375,0.710329362632,0.706430629299,0.709553645632,0.749572725212,0.722210464375,0.719386124026
335-9.55,1,9.55,335,0.720578895697,0.709088338117,0.703558544612,0.707003010558,0.748351989958,0.720578895697,0.717872244156
335-9.57,1,9.57,335,0.720509638244,0.708408490436,0.703406465407,0.706780425011,0.748701614802,0.720509638244,0.718148022727
335-9.58,1,9.58,335,0.720248884798,0.708424834344,0.703825448991,0.706736048584,0.747600548472,0.720248884798,0.718234107792
335-9.6,1,9.6,335,0.720648904898,0.708786128778,0.707827262365,0.707546799366,0.747757657682,0.720648904898,0.718505033766
335-9.62,1,9.62,335,0.721073716174,0.708801954936,0.705589164101,0.707084533844,0.749635279164,0.721073716174,0.718773096753
335-9.63,1,9.63,335,0.721862581961,0.712899139045,0.706363704708,0.706975030183,0.748354013811,0.721862581961,0.719222144805
335-9.65,1,9.65,335,0.720931525996,0.708493401335,0.705829247824,0.706866672412,0.74888237634,0.720931525996,0.719483653896
335-9.67,1,9.67,335,0.721063662306,0.708846820851,0.705485227703,0.706540513086,0.749124873079,0.721063662306,0.719742442208
335-9.68,1,9.68,335,0.720482618877,0.708585408698,0.705088367515,0.705707397921,0.748440392915,0.720482618877,0.719197275974
335-9.7,1,9.7,335,0.719745321129,0.707991636853,0.702869681342,0.705301180132,0.747389238959,0.719745321129,0.718299228571
335-9.72,1,9.72,335,0.719053879535,0.708070337812,0.703400990659,0.703564639593,0.7468113771,0.719053879535,0.717769163636
335-9.73,1,9.73,335,0.717914055436,0.706829961705,0.70392600352,0.702769137082,0.745877222957,0.717914055436,0.7161799
335-9.75,1,9.75,335,0.71696827282,0.706585011907,0.702471093919,0.70227431078,0.744404408855,0.71696827282,0.71460935974
335-9.77,1,9.77,335,0.716249330654,0.706019997743,0.700676464136,0.701391766056,0.742948843882,0.716249330654,0.714636714935
335-9.78,1,9.78,335,0.715981237958,0.705451754361,0.703828801821,0.701341658923,0.743194937249,0.715981237958,0.713936601299
335-9.8,1,9.8,335,0.715443545699,0.704568558168,0.700065011631,0.701175801833,0.742091354614,0.715443545699,0.713938468182
335-9.82,1,9.82,335,0.714572113707,0.704014080326,0.703187066928,0.700570833373,0.740108625543,0.714572113707,0.713594915584
335-9.83,1,9.83,335,0.714618455393,0.703150906015,0.702434780398,0.700979415426,0.741432072859,0.714618455393,0.712911427273
335-9.85,1,9.85,335,0.717900747803,0.717788086515,0.702037784909,0.69992239108,0.740802971409,0.717900747803,0.713089542208
335-9.87,1,9.87,335,0.71367482327,0.703645749263,0.700953840167,0.698049782164,0.739907957109,0.71367482327,0.713095804545
335-9.88,1,9.88,335,0.713504349323,0.703423320342,0.698506174211,0.698020288433,0.739640887867,0.713504349323,0.712932900649
335-9.9,1,9.9,335,0.713450915847,0.70288763839,0.700358522165,0.698327478814,0.739985087744,0.713450915847,0.712603458442
