accelerometer_mean,accelerometer_min,accelerometer_max,accelerometer_std,gyroscope_mean,gyroscope_min,gyroscope_max,gyroscope_std,sound_mean,sound_min,sound_max,sound_std,label,target
9.811476292,9.758895473,9.849410956,0.014625507,0.001650775,0,0.003533083,0.000736964,0,0,0,0,0,Still
9.939206783,7.707437422,17.14663119,1.775944297,0.036325714,0.011669388,0.059387896,0.0202897,89.20021019,89.06514335,89.33527703,0.191013358,1,Car
9.827177836,9.804817127,9.849262113,0.011199106,0.001524617,0,0.002609354,0.000712701,0,0,0,0,0,Still
9.673039113,7.659673729,12.30429759,0.862553258,0.036440315,0.020463062,0.052512245,0.010552773,87.4703771,87.4703771,87.4703771,2.284186361,1,Car
9.993466321,8.965620961,10.89164512,0.50411706,0.183202098,0.020666857,0.380875067,0.098819138,89.77073232,89.77073232,89.77073232,0.006389235,1,Car
9.330481711,9.149029238,9.520043907,0.103856563,0,0,0,0,57.36112724,57.36112724,57.36112724,1.006611253,1,Car
9.789771293,9.758750712,9.816196876,0.013488593,0.004099865,0.002731872,0.00657922,0.001801123,65.15836901,65.15836901,65.15836901,0,2,Train
9.906011476,6.431645697,14.20260333,1.044684104,0.140902237,0.006566731,0.690413822,0.119666966,0,0,0,0,3,Bus
9.639711442,8.996134055,10.02780194,0.255052885,0.041554064,0.008014424,0.123026208,0.030074237,89.80844083,89.80844083,89.80844083,0.010171437,3,Bus
9.602108563,9.014786483,10.06852813,0.267790552,0.037450782,0.00717439,0.084820304,0.021390824,89.81573848,89.81573848,89.81573848,0.004995081,2,Train
9.864564603,9.554662882,10.3433459,0.114261228,0.131283457,0.131283457,0.131283457,0.003330783,70.57062121,70.57062121,70.57062121,7.974878399,0,Still
9.446526844,8.90104806,10.01336463,0.317446077,0.022525384,0.005361722,0.058538724,0.013113601,89.79213933,89.79213933,89.79213933,0.037445572,2,Train
9.365727324,3.758711875,13.72480981,2.508426729,0.296977565,0.049531932,0.770731878,0.231980726,85.03130447,85.03130447,85.03130447,7.035722179,1,Car
9.932077713,9.608102271,10.20423155,0.145971591,0.017878648,0.004633901,0.057902512,0.012215627,89.76378507,89.70846558,89.81910456,0.078233577,1,Car
9.826201015,8.522106239,11.36447368,0.389263437,0.029334805,0.028126348,0.030543262,0.001709016,78.50624183,78.50624183,78.50624183,0.727791429,3,Bus
10.18086734,10.1604826,10.1983758,0.013581181,0.006378032,0.002490223,0.012354881,0.002531852,80.62089433,80.62089433,80.62089433,0,0,Still
9.709153021,9.183982831,10.57302469,0.298172238,0.251735071,0.246238566,0.257231575,0.007773231,84.4749283,84.41888953,84.53096708,0.079250796,0,Still
9.528491943,9.0519519,9.987013936,0.312273768,0.108372343,0.009608555,0.959588476,0.189651912,89.75435982,89.75435982,89.75435982,0.025711921,1,Car
10.09849406,4.184304743,20.96536867,4.496925603,1.936650541,0.678904506,3.5498734,1.213517578,0,0,0,0,4,Walking
10.19246377,10.08524721,10.25111884,0.054377099,0.088144367,0.008181956,0.393253255,0.107638935,69.34920219,69.34920219,69.34920219,1.805337429,0,Still
9.899483559,6.762555023,15.59466885,2.839777908,1.834563396,0.329424214,3.512055573,1.066838366,89.79579577,89.79579577,89.79579577,0.052428386,4,Walking
9.764914019,8.099911664,11.17852604,0.73941808,0.027931444,0.005971842,0.060281793,0.014852824,0,0,0,0,1,Car
9.840979637,9.814481615,9.867058275,0.013050549,0.001668608,0.001065265,0.003195794,0.000685684,0,0,0,0,0,Still
9.821241691,9.765503544,9.880349274,0.023715294,0.001690059,0.001065265,0.003195794,0.000791429,0,0,0,0,0,Still
9.730397471,9.050715907,11.00343445,0.295130633,0.270307147,0.044572237,0.412518147,0.140345521,84.13318985,83.70970983,84.35809748,0.366980758,0,Still
9.714569983,9.118590204,10.10302275,0.254989455,0.020230254,0.002992616,0.104191476,0.029359452,69.72577522,69.72577522,69.72577522,3.605398291,2,Train
