tienda,ciudad,periodo,visitas,precio,precio_z,compras
0,0,0,142,17.135728796629248,1.5094072767121365,8
0,0,1,135,12.780418992636688,-0.1505288015798151,30
0,0,2,83,14.028632914676873,0.32520206852302247,6
0,0,3,92,15.944273091045265,1.0553086246317191,3
0,0,4,94,12.53294808901395,-0.24484720824616138,19
0,0,5,109,17.884065398125095,1.794620264865267,6
0,0,6,113,16.24313050863052,1.169211936230854,3
0,0,7,84,14.411030452870357,0.4709449659204707,9
1,0,0,132,10.149795870638448,-1.1531362910839875,44
1,0,1,83,8.431151452874934,-1.8081619960718376,53
1,0,2,163,13.236504474130687,0.02329872839819637,22
1,0,3,171,11.540330239773933,-0.623162931825599,40
1,0,4,93,16.033402069549652,1.089278287801286,9
1,0,5,80,16.959394398441045,1.442201074956254,2
1,0,6,168,12.903602953102641,-0.10357978774459307,34
1,0,7,144,17.755798563458868,1.7457340188591621,5
2,0,0,82,13.095447158619457,-0.030462344329501807,19
2,0,1,147,11.829119243028822,-0.5130969877043984,66
2,0,2,153,10.525679576982357,-1.009876005712238,74
2,0,3,136,11.555273571072686,-0.6174675907662949,50
2,0,4,134,15.301119551122682,0.810183980726938,25
2,0,5,173,11.550056769891988,-0.6194558664304458,76
2,0,6,114,9.168297518013299,-1.5272140489539496,77
2,0,7,172,14.234256806833304,0.40357135394937266,31
3,1,0,169,16.28706808366476,1.185957832452779,31
3,1,1,111,12.305509097966551,-0.3315308665484495,52
3,1,2,126,9.709322201490885,-1.32101370230406,89
3,1,3,109,14.12356347906963,0.3613828859297887,38
3,1,4,171,14.098023742721198,0.3516489446712444,56
3,1,5,98,13.563697046184469,0.1480013969439171,30
3,1,6,158,9.906156193957564,-1.245994504994567,105
3,1,7,83,16.49716758218991,1.2660329025002044,14
4,1,0,144,13.650777170694788,0.18119018187130048,65
4,1,1,154,14.187460469552555,0.3857358997382794,53
4,1,2,113,10.084706315318565,-1.1779438262669975,86
4,1,3,176,14.514653580521728,0.5104387736804334,74
4,1,4,175,9.609113699046155,-1.3592060964265467,143
4,1,5,151,15.203824586123613,0.7731020210256889,47
4,1,6,103,16.41819359171873,1.2359336025813734,19
4,1,7,156,9.578230742375165,-1.3709764953854242,124
5,1,0,91,14.303168210375155,0.4298355073834159,43
5,1,1,155,9.222415831487073,-1.5065879752475326,121
5,1,2,141,12.227825734240884,-0.36113827082841626,87
5,1,3,103,11.592404575197092,-0.603315877996561,63
5,1,4,149,16.492572803460504,1.2642816978034188,42
5,1,5,81,16.549735042309408,1.2860679005884086,25
5,1,6,123,16.702404285275676,1.3442546188358488,27
5,1,7,164,12.803811102046764,-0.141613383824334,98
6,1,0,135,9.18425927598756,-1.5211305556717603,107
6,1,1,171,10.725243683391975,-0.9338162820485516,118
6,1,2,109,9.77081356179131,-1.2975775445886304,79
6,1,3,97,14.980013569431575,0.6878010899677545,29
6,1,4,160,11.09310942201739,-0.7936118789192795,109
6,1,5,101,8.993502391145016,-1.5938335893440037,80
6,1,6,144,12.780263231067105,-0.15058816687427165,68
6,1,7,173,10.823303492164015,-0.8964428179928134,123
7,2,0,96,12.688151050682645,-0.18569481562062148,7
7,2,1,106,11.060707795548517,-0.8059610874007789,15
7,2,2,154,10.329229827922966,-1.0847487566095797,28
7,2,3,174,10.713323699021462,-0.9383593370778751,32
7,2,4,146,16.074251030810103,1.1048470228875513,3
7,2,5,85,9.572855967243834,-1.3730249795472225,19
7,2,6,158,12.945409272211787,-0.08764617555327638,14
7,2,7,176,8.226090115521032,-1.8863168753928221,69
8,2,0,171,16.373936451545227,1.21906591072885,18
8,2,1,156,16.705298192631517,1.3453575716551387,18
8,2,2,140,13.5469921420449,0.14163466890076848,24
8,2,3,105,14.515534731382758,0.5107746060713465,21
8,2,4,134,9.222900036161999,-1.5064034306696819,76
8,2,5,159,15.310808184784204,0.8138766026729982,19
8,2,6,142,16.44908419598876,1.2477069162641472,13
8,2,7,153,11.196210920069063,-0.7543168794717012,62
9,2,0,118,8.793566079858945,-1.6700351711832844,55
9,2,1,84,9.684718222994238,-1.3303909988487659,37
9,2,2,166,11.540099294934986,-0.6232509516651777,38
9,2,3,150,12.987396985435524,-0.07164342875414748,24
9,2,4,84,13.23079883091237,0.021124140721502625,9
9,2,5,168,13.690930170108617,0.19649366552188954,25
9,2,6,140,8.855870710470834,-1.6462890523417453,68
9,2,7,164,11.176261635282064,-0.7619201359664988,46
10,3,0,118,17.80932518826743,1.7661345826921824,4
10,3,1,172,16.71657044231675,1.3496537560319384,3
10,3,2,172,9.438091541389925,-1.4243876477872948,35
10,3,3,102,13.757882990620732,0.2220113456211526,10
10,3,4,176,16.96476233938347,1.4442469544085725,3
10,3,5,175,11.603366656661645,-0.5991379078095705,38
10,3,6,133,16.763006027011123,1.3673517168704783,4
10,3,7,85,14.238004580371529,0.4049997401697199,8
11,3,0,146,11.804872910847148,-0.5223379747675269,27
11,3,1,145,11.160453997541484,-0.7679448895153973,40
11,3,2,85,14.707852720205073,0.5840726221752901,7
11,3,3,143,12.948195967050566,-0.08658408456313864,21
11,3,4,148,15.97065851295245,1.0653648814161487,10
11,3,5,165,11.391368415215402,-0.6799366443744125,25
11,3,6,136,17.457446523406514,1.6320233214339388,4
11,3,7,81,15.92960037143165,1.049716421608418,0
12,3,0,136,14.717978972638004,0.5879320334474584,13
12,3,1,112,15.352845973327275,0.8298984346423989,13
12,3,2,105,15.187092007939484,0.7667247455939354,7
