"Date","Open","High","Low","Close","Volume","Adjusted"
"2000-01-03",1469.25,1478,1438.35998535156,1455.21997070312,931800000,1455.21997070312
"2000-01-04",1455.21997070312,1455.21997070312,1397.43005371094,1399.42004394531,1.009e+09,1399.42004394531
"2000-01-05",1399.42004394531,1413.27001953125,1377.68005371094,1402.10998535156,1085500000,1402.10998535156
"2000-01-06",1402.10998535156,1411.90002441406,1392.09997558594,1403.44995117188,1092300000,1403.44995117188
"2000-01-07",1403.44995117188,1441.46997070312,1400.72998046875,1441.46997070312,1225200000,1441.46997070312
"2000-01-10",1441.46997070312,1464.35998535156,1441.46997070312,1457.59997558594,1064800000,1457.59997558594
"2000-01-11",1457.59997558594,1458.66003417969,1434.42004394531,1438.56005859375,1.014e+09,1438.56005859375
"2000-01-12",1438.56005859375,1442.59997558594,1427.07995605469,1432.25,974600000,1432.25
"2000-01-13",1432.25,1454.19995117188,1432.25,1449.68005371094,1030400000,1449.68005371094
"2000-01-14",1449.68005371094,1473,1449.68005371094,1465.15002441406,1085900000,1465.15002441406
"2000-01-18",1465.15002441406,1465.15002441406,1451.30004882812,1455.14001464844,1056700000,1455.14001464844
"2000-01-19",1455.14001464844,1461.39001464844,1448.68005371094,1455.90002441406,1087800000,1455.90002441406
"2000-01-20",1455.90002441406,1465.7099609375,1438.5400390625,1445.56994628906,1100700000,1445.56994628906
"2000-01-21",1445.56994628906,1453.18005371094,1439.59997558594,1441.35998535156,1209800000,1441.35998535156
"2000-01-24",1441.35998535156,1454.08996582031,1395.42004394531,1401.53002929688,1115800000,1401.53002929688
"2000-01-25",1401.53002929688,1414.26000976562,1388.48999023438,1410.03002929688,1073700000,1410.03002929688
"2000-01-26",1410.03002929688,1412.72998046875,1400.16003417969,1404.08996582031,1117300000,1404.08996582031
"2000-01-27",1404.08996582031,1418.85998535156,1370.98999023438,1398.56005859375,1129500000,1398.56005859375
"2000-01-28",1398.56005859375,1398.56005859375,1356.19995117188,1360.16003417969,1095800000,1360.16003417969
"2000-01-31",1360.16003417969,1394.47998046875,1350.14001464844,1394.4599609375,993800000,1394.4599609375
"2000-02-01",1394.4599609375,1412.48999023438,1384.7900390625,1409.28002929688,9.81e+08,1409.28002929688
"2000-02-02",1409.28002929688,1420.60998535156,1403.48999023438,1409.11999511719,1038600000,1409.11999511719
"2000-02-03",1409.11999511719,1425.78002929688,1398.52001953125,1424.96997070312,1146500000,1424.96997070312
"2000-02-04",1424.96997070312,1435.91003417969,1420.63000488281,1424.36999511719,1045100000,1424.36999511719
"2000-02-07",1424.36999511719,1427.15002441406,1413.32995605469,1424.23999023438,918100000,1424.23999023438
"2000-02-08",1424.23999023438,1441.82995605469,1424.23999023438,1441.71997070312,1047700000,1441.71997070312
"2000-02-09",1441.71997070312,1444.55004882812,1411.65002441406,1411.7099609375,1050500000,1411.7099609375
"2000-02-10",1411.69995117188,1422.09997558594,1406.43005371094,1416.82995605469,1058800000,1416.82995605469
"2000-02-11",1416.82995605469,1416.82995605469,1378.89001464844,1387.11999511719,1025700000,1387.11999511719
"2000-02-14",1387.11999511719,1394.93005371094,1380.53002929688,1389.93994140625,927300000,1389.93994140625
"2000-02-15",1389.93994140625,1407.71997070312,1376.25,1402.05004882812,1092100000,1402.05004882812
"2000-02-16",1402.05004882812,1404.55004882812,1385.57995605469,1387.67004394531,1018800000,1387.67004394531
"2000-02-17",1387.67004394531,1399.88000488281,1380.06994628906,1388.26000976562,1034800000,1388.26000976562
"2000-02-18",1388.26000976562,1388.58996582031,1345.31994628906,1346.08996582031,1042300000,1346.08996582031
"2000-02-22",1346.08996582031,1358.10998535156,1331.88000488281,1352.17004394531,9.8e+08,1352.17004394531
"2000-02-23",1352.17004394531,1370.10998535156,1342.43994140625,1360.68994140625,993700000,1360.68994140625
"2000-02-24",1360.68994140625,1364.80004882812,1329.88000488281,1353.43005371094,1.215e+09,1353.43005371094
"2000-02-25",1353.43005371094,1362.14001464844,1329.15002441406,1333.35998535156,1065200000,1333.35998535156
"2000-02-28",1333.35998535156,1360.81994628906,1325.06994628906,1348.05004882812,1026500000,1348.05004882812
"2000-02-29",1348.05004882812,1369.63000488281,1348.05004882812,1366.42004394531,1204300000,1366.42004394531
"2000-03-01",1366.42004394531,1383.4599609375,1366.42004394531,1379.18994140625,1274100000,1379.18994140625
"2000-03-02",1379.18994140625,1386.56005859375,1370.34997558594,1381.76000976562,1198600000,1381.76000976562
"2000-03-03",1381.76000976562,1410.88000488281,1381.76000976562,1409.17004394531,1150300000,1409.17004394531
"2000-03-06",1409.17004394531,1409.73999023438,1384.75,1391.28002929688,1.029e+09,1391.28002929688
"2000-03-07",1391.28002929688,1399.2099609375,1349.98999023438,1355.61999511719,1314100000,1355.61999511719
"2000-03-08",1355.61999511719,1373.7900390625,1346.61999511719,1366.69995117188,1.203e+09,1366.69995117188
"2000-03-09",1366.69995117188,1401.81994628906,1357.88000488281,1401.68994140625,1.123e+09,1401.68994140625
"2000-03-10",1401.68994140625,1413.4599609375,1392.06994628906,1395.06994628906,1138800000,1395.06994628906
