_id,text,userid,screen_name,created_at,source,lang,quote_count,reply_count,retweet_count,favorite_count,coordinates,reply,quote,RT,RT_source,nRTin
1322162444786126848,Winners attract other winners,289706821,thatguy0603,2020-10-30T13:04:26.000Z,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en,0,0,0,0,,false,true,false,,0
1316829358686834688,NOW WE KNOW...C-SPAN Steve Sculley tried to rig the proposed virtual POTUS debate and Trump was right in canceling.,1116507977828175872,FloridaDude297,2020-10-15T19:52:39.000Z,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en,12,28,681,1232,,false,false,false,,0
1318888111699599362,,1290009888580657152,why_inn,2020-10-21T12:13:24.000Z,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,true,1318884437258571777,
1321483993922023424,@realDonaldTrump Vote Biden🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊🌊,922851359594033152,Janet06969062,2020-10-28T16:08:30.000Z,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",fr,0,0,0,0,,true,false,false,,0
1313626566694404096,,3285934814,Bill4TruthTrump,2020-10-06T23:45:54.000Z,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,true,1313617592125448194,
1323494450883166208,,897848315752071169,HamilBaltisar,2020-11-03T05:17:21.000Z,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,,,,true,1323467682671415302,
1312583721090867200,,247903672,mike4libertyCA,2020-10-04T02:42:00.000Z,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,true,1312560078717943809,
1315739228869808128,,1288936715793571840,RichCrowe5,2020-10-12T19:40:52.000Z,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,true,1315736794982281224,
1311338929459691527,,4107240977,StressIKnowWell,2020-09-30T16:15:38.000Z,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,,,,true,1311149695331381253,
1313497108566011905,@realDonaldTrump https://t.co/uU7arNqAKK,941136678369968129,Trump_4Prison,2020-10-06T15:11:28.000Z,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",und,0,0,0,0,,true,false,false,,0
