Fecha,NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
ene-21,1,Paseo de Recoletos,"66,6","66,5","60,2","65,3","71,4","68,2","59,9","47,1",41
ene-21,2,Carlos V,"68,7","68,5","63,5","67,5","72,7","69,1","64,6","55,4","48,6"
ene-21,3,Plaza del Carmen,"60,6","58,1","58,6","59,7","68,5","60,7","52,4","41,4","39,1"
ene-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
ene-21,5,Barrio del Pilar,"60,8","59,8","55,2","59,3","65,8","60,8","54,8","39,4","36,6"
ene-21,6,Gregorio Marañón,"68,7",68,"60,9","67,1","73,4","68,7",62,"48,4","40,9"
ene-21,8,Escuelas Aguirre,"65,1","64,6","58,7","63,8","70,2","65,5","59,7","47,2","40,9"
ene-21,10,Cuatro Caminos,"64,6",64,59,"63,3","70,8","65,3","56,9","46,7","45,2"
ene-21,11,Ramón y Cajal,"67,1",66,"58,2","65,3","70,9","66,9","60,8","41,9","37,4"
ene-21,12,Plaza Manuel Becerra,"62,8","61,5","56,4","61,2","69,5","61,7","56,9","46,6","42,7"
ene-21,13,Vallecas,"57,1","56,1","63,8","60,5","64,2","57,4",50,"39,2","36,8"
ene-21,14,Glorieta Fdez. Ladreda,"64,1","63,5","57,9","62,7","68,8","64,1","60,1",49,"41,9"
ene-21,16,Arturo Soria,"60,8","59,7","54,1","59,2","65,6","60,7","53,2","37,6","34,9"
ene-21,17,Villaverde,57,"58,7",57,"57,3","64,7","57,4",50,"39,1","36,4"
ene-21,18,Farolillo,"57,8","55,8","70,9","66,4","67,1","57,1","48,7","41,6","40,4"
ene-21,19,Alto Extremadura,"59,1",59,"52,2","57,7","65,7","59,7","52,4","38,4","32,8"
ene-21,20,Avda de Moratalaz,"59,7","58,8",53,"58,2",66,"59,9","53,1","39,8","37,6"
ene-21,24,Casa de Campo,49,"45,3",43,"47,2",56,"50,1","43,3","37,9","36,9"
ene-21,25,Santa Eugenia,"67,5","66,5","61,1",66,"69,6","67,6","64,5","52,4","42,8"
ene-21,26,Embajada,"60,2",58,"54,3","58,6","66,9","61,4",54,"45,6",40
ene-21,27,Barajas Pueblo,"56,9","55,4",61,"58,6","64,8","57,5","48,7","40,3","36,2"
ene-21,28,Cuatro Vientos,"67,3","64,8","58,6","65,3","73,1","67,9","58,1",41,"38,3"
ene-21,29,El Pardo,"56,8","55,2","48,5","55,1",63,"57,4","46,7","33,5","31,9"
ene-21,30,Campo de las Naciones,"58,3","55,7",52,"56,6",64,"58,5","51,9","42,1","39,5"
ene-21,31,Sanchinarro,63,"62,3","52,3","61,3","70,8","63,9","51,4","40,4","37,9"
ene-21,47,Méndez Álvaro,"53,6","52,8","49,2","52,4","62,9",53,"46,2","38,1","36,4"
ene-21,48,Castellana,"59,7","59,2","52,7","58,2","64,8","60,3","55,5","43,2","38,2"
ene-21,50,Pza de Castilla,"66,4","65,7","58,4","64,9","70,4","66,2","61,8",50,"45,5"
ene-21,54,Ensanche de Vallecas,"60,9","60,4","55,5","59,6","66,4","61,9","55,5","40,5","37,3"
ene-21,55,Urbanización Embajada II,"54,6","52,7","49,5","53,1","61,7","54,2","47,8","40,6","38,3"
ene-21,86,Tres Olivos,"55,8","53,3","53,2","54,7","62,8","55,8","47,2","37,7","36,1"
feb-21,1,Paseo de Recoletos,68,"67,8","61,3","66,6","73,3","70,5","62,7","48,9",41
feb-21,2,Carlos V,"69,3","68,8",63,"67,9","74,1","70,1","66,1","55,4","49,1"
feb-21,3,Plaza del Carmen,"61,9","62,3",55,"60,6","69,5","63,2",56,"42,3","39,5"
feb-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
